Loading files...
200 spam files
200 ham files

50% used for training and 50% used for testing

Splitting data...
200 spam files
200 ham files

Spam: 100 training files and 100 test files
Ham:  100 training files and 100 test files

Making Suffix Tree...

Testing Data...
testing spam 100

testing ham 100

Done!!!


Stats:
TH       SS       SH       HS       HH       Accuracy TPR      FPR      TNR      FNR
1.54     100      0        81       19       0.595    1.000    0.810    0.190    0.000    
1.55     100      0        82       18       0.590    1.000    0.820    0.180    0.000    
1.56     100      0        82       18       0.590    1.000    0.820    0.180    0.000    
1.57     100      0        82       18       0.590    1.000    0.820    0.180    0.000    
1.58     100      0        82       18       0.590    1.000    0.820    0.180    0.000    
1.59     100      0        86       14       0.570    1.000    0.860    0.140    0.000    
1.60     100      0        86       14       0.570    1.000    0.860    0.140    0.000    
1.61     100      0        87       13       0.565    1.000    0.870    0.130    0.000    
1.62     100      0        87       13       0.565    1.000    0.870    0.130    0.000    
1.63     100      0        87       13       0.565    1.000    0.870    0.130    0.000    
1.64     100      0        89       11       0.555    1.000    0.890    0.110    0.000    
1.65     100      0        90       10       0.550    1.000    0.900    0.100    0.000    
1.66     100      0        90       10       0.550    1.000    0.900    0.100    0.000    
1.67     100      0        90       10       0.550    1.000    0.900    0.100    0.000    
1.68     100      0        92       8        0.540    1.000    0.920    0.080    0.000    
1.69     100      0        94       6        0.530    1.000    0.940    0.060    0.000    
1.70     100      0        94       6        0.530    1.000    0.940    0.060    0.000    
1.71     100      0        94       6        0.530    1.000    0.940    0.060    0.000    
1.72     100      0        96       4        0.520    1.000    0.960    0.040    0.000    
1.73     100      0        96       4        0.520    1.000    0.960    0.040    0.000    
1.74     100      0        97       3        0.515    1.000    0.970    0.030    0.000    
1.75     100      0        97       3        0.515    1.000    0.970    0.030    0.000    
1.76     100      0        98       2        0.510    1.000    0.980    0.020    0.000    
1.77     100      0        98       2        0.510    1.000    0.980    0.020    0.000    
1.78     100      0        98       2        0.510    1.000    0.980    0.020    0.000    
1.79     100      0        98       2        0.510    1.000    0.980    0.020    0.000    
1.80     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.81     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.82     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.83     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.84     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.85     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.86     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.87     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.88     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.89     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.90     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.91     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.92     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.93     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.94     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.95     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.96     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.97     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.98     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
1.99     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.00     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.01     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.02     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.03     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.04     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.05     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.06     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.07     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
